vid,category,mos,width,height,pixfmt,framerate,nb_frames,bitdepth,bitrate
G3GetYoGurl_TSP_3840x1920_fps29.97_qp27_13891k,G3GetYoGurl,53.54011912,3840,1920,yuv420p,29.97,380,8,15978215
G3GetYoGurl_TSP_3840x1920_fps29.97_qp37_3479k,G3GetYoGurl,55.47771541,3840,1920,yuv420p,29.97,380,8,13655226
G3GetYoGurl_TSP_3840x1920_fps29.97_qp42_1760k,G3GetYoGurl,44.0668954,3840,1920,yuv420p,29.97,380,8,12014651
G3NoControl_ERP_7168x3584_fps30_qp27_34976k,G3NoControl,57.37121326,7168,3584,yuv420p,30.0,300,8,34979924
G3NoControl_ERP_7168x3584_fps30_qp37_10472k,G3NoControl,52.65369658,7168,3584,yuv420p,30.0,300,8,10475211
G3NoControl_ERP_7168x3584_fps30_qp42_5758k,G3NoControl,36.18550844,7168,3584,yuv420p,30.0,300,8,5761081
G3NoControl_RCMP_5376x3584_fps30_qp27_34949k,G3NoControl,59.06397284,7168,3584,yuv420p,30.0,300,8,48294535
G3NoControl_RCMP_5376x3584_fps30_qp37_9662k,G3NoControl,52.71404956,7168,3584,yuv420p,30.0,300,8,50904262
G3NoControl_RCMP_5376x3584_fps30_qp42_5132k,G3NoControl,41.89169424,7168,3584,yuv420p,30.0,300,8,53577858
G3NoControl_TSP_7168x3584_fps30_qp27_36984k,G3NoControl,62.2044216,7168,3584,yuv420p,30.0,300,8,47819208
G3NoControl_TSP_7168x3584_fps30_qp37_11283k,G3NoControl,61.14603609,7168,3584,yuv420p,30.0,300,8,51674415
G3NoControl_TSP_7168x3584_fps30_qp42_6381k,G3NoControl,53.60573354,7168,3584,yuv420p,30.0,300,8,55004164
G3Sailing49er_ERP_3840x2160_fps29.97_qp27_35857k,G3Sailing49er,63.36742985,3840,2160,yuv420p,29.97,500,8,35861839
G3Sailing49er_ERP_3840x2160_fps29.97_qp37_11792k,G3Sailing49er,56.49931103,3840,2160,yuv420p,29.97,500,8,11796596
G3Sailing49er_ERP_3840x2160_fps29.97_qp42_5815k,G3Sailing49er,47.2315807,3840,2160,yuv420p,29.97,500,8,5819199
G3Sailing49er_RCMP_2880x1920_fps29.97_qp27_33116k,G3Sailing49er,56.52793908,3840,1920,yuv420p,29.97,500,8,27058037
G3Sailing49er_RCMP_2880x1920_fps29.97_qp37_9845k,G3Sailing49er,54.86504728,3840,1920,yuv420p,29.97,500,8,26002727
G3Sailing49er_RCMP_2880x1920_fps29.97_qp42_4707k,G3Sailing49er,45.07585,3840,1920,yuv420p,29.97,500,8,24410705
G3Sailing49er_TSP_3840x1920_fps29.97_qp27_39058k,G3Sailing49er,55.15911906,3840,1920,yuv420p,29.97,500,8,26285633
G3Sailing49er_TSP_3840x1920_fps29.97_qp37_12931k,G3Sailing49er,51.10806232,3840,1920,yuv420p,29.97,500,8,25621282
G3Sailing49er_TSP_3840x1920_fps29.97_qp42_6697k,G3Sailing49er,52.1808893,3840,1920,yuv420p,29.97,500,8,24657917
G3Skiathos_ERP_7680x3840_fps29.97_qp27_78802k,G3Skiathos,63.93477401,7680,3840,yuv420p,29.97,320,8,78808321
G3Skiathos_ERP_7680x3840_fps29.97_qp37_11807k,G3Skiathos,54.8369198,7680,3840,yuv420p,29.97,320,8,11812163
G3Skiathos_ERP_7680x3840_fps29.97_qp42_2536k,G3Skiathos,22.45299799,7680,3840,yuv420p,29.97,320,8,2540550
G3Skiathos_RCMP_5760x3840_fps29.97_qp27_68279k,G3Skiathos,64.92931868,7680,3840,yuv420p,29.97,320,8,64664715
G3Skiathos_RCMP_5760x3840_fps29.97_qp37_8848k,G3Skiathos,46.5404971,7680,3840,yuv420p,29.97,320,8,48201363
G3Skiathos_RCMP_5760x3840_fps29.97_qp42_2086k,G3Skiathos,17.7152007,7680,3840,yuv420p,29.97,320,8,26059401
G3Skiathos_TSP_7680x3840_fps29.97_qp27_64507k,G3Skiathos,63.81986741,7680,3840,yuv420p,29.97,320,8,53037245
G3Skiathos_TSP_7680x3840_fps29.97_qp37_10398k,G3Skiathos,61.12234479,7680,3840,yuv420p,29.97,320,8,40186852
G3Skiathos_TSP_7680x3840_fps29.97_qp42_3284k,G3Skiathos,43.42278395,7680,3840,yuv420p,29.97,320,8,27434304
G3SkyrimHelgen_ERP_3840x2160_fps29.97_qp27_12839k,G3SkyrimHelgen,57.66814441,3840,2160,yuv420p,29.97,450,8,12843125
G3SkyrimHelgen_ERP_3840x2160_fps29.97_qp37_3009k,G3SkyrimHelgen,49.09913961,3840,2160,yuv420p,29.97,450,8,3012214
G3SkyrimHelgen_ERP_3840x2160_fps29.97_qp42_1324k,G3SkyrimHelgen,35.88439048,3840,2160,yuv420p,29.97,450,8,1326975
G3SkyrimHelgen_RCMP_2880x1920_fps29.97_qp27_7602k,G3SkyrimHelgen,57.33949194,3840,1920,yuv420p,29.97,450,8,14685587
G3SkyrimHelgen_RCMP_2880x1920_fps29.97_qp37_1407k,G3SkyrimHelgen,45.49240708,3840,1920,yuv420p,29.97,450,8,12898529
G3SkyrimHelgen_RCMP_2880x1920_fps29.97_qp42_578k,G3SkyrimHelgen,28.14662395,3840,1920,yuv420p,29.97,450,8,11807571
G3SkyrimHelgen_TSP_3840x1920_fps29.97_qp27_7679k,G3SkyrimHelgen,59.85141879,3840,1920,yuv420p,29.97,450,8,13808637
G3SkyrimHelgen_TSP_3840x1920_fps29.97_qp37_1567k,G3SkyrimHelgen,46.59542641,3840,1920,yuv420p,29.97,450,8,12540029
G3SkyrimHelgen_TSP_3840x1920_fps29.97_qp42_674k,G3SkyrimHelgen,29.91814799,3840,1920,yuv420p,29.97,450,8,11718824
G4Alcatraz_ERP_7680x3840_fps29.97_qp27_46637k,G4Alcatraz,55.09452604,7680,3840,yuv420p,29.97,330,8,46642228
G4Alcatraz_ERP_7680x3840_fps29.97_qp37_12609k,G4Alcatraz,42.05963227,7680,3840,yuv420p,29.97,330,8,12613652
G4Alcatraz_ERP_7680x3840_fps29.97_qp42_5877k,G4Alcatraz,44.53997138,7680,3840,yuv420p,29.97,330,8,5881738
G4Alcatraz_RCMP_5760x3840_fps29.97_qp27_46132k,G4Alcatraz,52.83984557,7680,3840,yuv420p,29.97,330,8,45408185
G4Alcatraz_RCMP_5760x3840_fps29.97_qp37_12044k,G4Alcatraz,49.4427163,7680,3840,yuv420p,29.97,330,8,40668298
G4Alcatraz_RCMP_5760x3840_fps29.97_qp42_5576k,G4Alcatraz,40.40407008,7680,3840,yuv420p,29.97,330,8,35316970
G4Alcatraz_TSP_7680x3840_fps29.97_qp27_48729k,G4Alcatraz,52.37707598,7680,3840,yuv420p,29.97,330,8,43118747
G4Alcatraz_TSP_7680x3840_fps29.97_qp37_13507k,G4Alcatraz,48.49265445,7680,3840,yuv420p,29.97,330,8,38834913
G4Alcatraz_TSP_7680x3840_fps29.97_qp42_6442k,G4Alcatraz,45.07536178,7680,3840,yuv420p,29.97,330,8,34099587
G4BikingInSaalbach_ERP_5600x2800_fps29.97_qp27_59876k,G4BikingInSaalbach,56.13810615,5600,2800,yuv420p,29.97,400,8,59881384
G4BikingInSaalbach_ERP_5600x2800_fps29.97_qp37_19310k,G4BikingInSaalbach,50.50579488,5600,2800,yuv420p,29.97,400,8,19314870
G4BikingInSaalbach_ERP_5600x2800_fps29.97_qp42_9360k,G4BikingInSaalbach,44.46245415,5600,2800,yuv420p,29.97,400,8,9364161
G4BikingInSaalbach_RCMP_4200x2800_fps29.97_qp27_51282k,G4BikingInSaalbach,53.61596223,5600,2800,yuv420p,29.97,400,8,57222100
G4BikingInSaalbach_RCMP_4200x2800_fps29.97_qp37_14076k,G4BikingInSaalbach,44.45592112,5600,2800,yuv420p,29.97,400,8,55723968
G4BikingInSaalbach_RCMP_4200x2800_fps29.97_qp42_6523k,G4BikingInSaalbach,44.55935279,5600,2800,yuv420p,29.97,400,8,51963235
G4BikingInSaalbach_TSP_5600x2800_fps29.97_qp27_49345k,G4BikingInSaalbach,56.36697208,5600,2800,yuv420p,29.97,400,8,54168198
G4BikingInSaalbach_TSP_5600x2800_fps29.97_qp37_14570k,G4BikingInSaalbach,44.63707957,5600,2800,yuv420p,29.97,400,8,52811334
G4BikingInSaalbach_TSP_5600x2800_fps29.97_qp42_7056k,G4BikingInSaalbach,48.65175726,5600,2800,yuv420p,29.97,400,8,49131220
G4CliffsideMansion_ERP_7680x3840_fps30_qp27_21044k,G4CliffsideMansion,59.66749511,7680,3840,yuv420p,30.0,300,8,21048852
G4CliffsideMansion_ERP_7680x3840_fps30_qp37_4698k,G4CliffsideMansion,51.71809186,7680,3840,yuv420p,30.0,300,8,4703076
G4CliffsideMansion_ERP_7680x3840_fps30_qp42_2239k,G4CliffsideMansion,32.67897846,7680,3840,yuv420p,30.0,300,8,2243983
G4CliffsideMansion_RCMP_5760x3840_fps30_qp27_15439k,G4CliffsideMansion,61.16030343,7680,3840,yuv420p,30.0,300,8,35199184
G4CliffsideMansion_RCMP_5760x3840_fps30_qp37_2866k,G4CliffsideMansion,47.33825127,7680,3840,yuv420p,30.0,300,8,34572050
G4CliffsideMansion_RCMP_5760x3840_fps30_qp42_1286k,G4CliffsideMansion,23.89290902,7680,3840,yuv420p,30.0,300,8,33990954
G4CliffsideMansion_TSP_7680x3840_fps30_qp27_17651k,G4CliffsideMansion,60.16873884,7680,3840,yuv420p,30.0,300,8,34007912
G4CliffsideMansion_TSP_7680x3840_fps30_qp37_3550k,G4CliffsideMansion,45.75822182,7680,3840,yuv420p,30.0,300,8,32704292
G4CliffsideMansion_TSP_7680x3840_fps30_qp42_1650k,G4CliffsideMansion,30.49205598,7680,3840,yuv420p,30.0,300,8,31704020
G4DrewBrees_ERP_3840x2160_fps29.97_qp27_15115k,G4DrewBrees,58.08649568,3840,2160,yuv420p,29.97,600,8,15118663
